Specimen_ID	Species	nm_volume	Vaa3D_volume
313861608			945.093080050078
313862022			306.290931113391
313862167	Mouse	3074.544326317512	512.836253022058
313862306			141.878463766296
313862373	Mouse	6741.669841788583	598.616419855661
314642645			142.208846006447
314804042			338.776587966812
314822529			556.481195314449
314831019			642.658848428848
314900022			196.384592125262
318331342			151.250657022615
318733871			75.2115752341311
318808427			276.851491487979
320207387			385.176375315944
320466871			257.362459593577
320654829			95.6515877451507
320668879			526.758471196418
321023397			166.802395304856
321707905			523.931980865731
321708130	Mouse	4330.064060087196	188.047372894881
321906005			66.6585788842
321923685			218.634948309516
322197160			379.871369716269
323452196	Mouse	3878.987015688152	11.2120908928843
323452245			240.383739177149
323475862	Mouse	1675.1219700221664	106.66985627160601
323535089			18.4220078750303
323540736			184.639886590952
323834998			421.08969668550003
323865917			1324.5378198912
324025297			797.069025434162
324025371			99.3389504611774
324257146			101.621960466152
324266189	Mouse	3369.2232226954698	329.294336815294
324466858			773.439485117901
324493977	Mouse	2920.9155497576576	264.610228976291
324521027			182.960097685559
325941643			1602.93600883198
327644217			248.043268682249
327962063	Mouse	1178.4603814390207	180.44641369007599
329550137			173.262963310456
329550277			367.00840787864604
330080937			143.157204924737
333604946	Mouse	2698.1761297455278	35.713918657004704
333785935			206.22542915077202
333785962	Mouse	2416.757929675612	71.348875252459
336676216			150.011969729865
341442651	Mouse	5529.8394491440795	46.0345360846925
348592897			467.29260144399
349621141			393.713011145443
354190013			447.702943030047
354833767			214.074138867678
370351753			438.46350510218696
382982932	Mouse	5406.3953012764005	354.11256337496803
386049446			403.245425875963
386970660			528.1449679997099
395830185			247.264217679445
396608557	Mouse	3568.6595625680475	220.26175627607898
396968721			201.089453841199
397351623			355.842590056427
397353539			238.700046950134
422738880			217.302118811378
464188580			22.325530211177803
464198958			237.466517041093
464212183			224.05547625444
466245544	Mouse	3806.8230150265417	192.364661742607
466632464			1523.46608363711
466664172			71.261690295303
467703703			681.89557204485
467782778			336.57623786753896
468120757			467.892152532816
468193142			340.816026128021
469610831			249.772494538465
469704261			324.899009364393
469753383			108.114603748737
469793303			785.358490692859
469798159			604.65733188716
469801569			686.785564563369
469992918	Mouse	4408.629681077254	198.85642774992198
471077468	Mouse	3925.099373663627	202.45323621544998
471077857	Mouse	3265.422888263583	188.431435171603
471085676			137.934766214532
471087830	Mouse	3402.8915939736466	188.802895018206
471088062			97.9400288134503
471129934			311.824199526866
471141261			85.0107143076389
471143169			1542.83480877452
471410185			344.91744082456705
471758398			484.03797908114996
471767045			58.6881031001034
471786879			319.097066618136
471789504			1906.5804511510698
471800189			16.333969450485803
471819401			114.96835775114401
473011949			551.075975810502
473020156			312.889408581236
473540161	Mouse	3290.556762881131	377.968196009773
473543792	Mouse	4338.768712158461	75.82308049053701
473564515	Mouse	2988.220167713736	134.554469689956
473593847			120.695330505331
473601979			250.16420518669602
473611755			349.002428784272
473943881	Mouse	3650.5533591763756	249.32155631740002
474267418			28.0590203623168
474626527	Mouse	1661.264602070807	60.62122592737251
