Species	Specimen_ID	Total_Volume	Total_Surface_Area
Mouse	561985849	6368.8932316116725	17467.527520394775
Mouse	571311039	3826.29361052182	19061.695033823853
Mouse	565863515	6022.196077557722	20657.63321714171
Mouse	570438732	1278.3350069123649	6372.78255129944
Mouse	535708196	2228.673232895622	14204.572384334067
Mouse	515315072	1547.1297201122684	9239.651485363784
Mouse	488677994	3849.82364272768	19275.61812127934
Mouse	324493977	2920.9155497576576	14014.559897586343
Mouse	571867358	2627.5379647834875	16533.131551452607
Mouse	565415071	2626.2323824002488	20177.400757125008
Mouse	313862373	6741.669841788583	17505.371961739518
Mouse	476086391	1079.5377716028247	6999.678439153746
Mouse	562632795	2931.3644544830167	14199.780772585093
Mouse	569965244	4763.4180431905925	20847.46092715311
Mouse	567320213	2874.6038756136695	16278.717853001235
Mouse	585832440	2496.9889404517344	12290.511856538555
Mouse	536306115	1887.533705788641	12032.53614025304
Mouse	471077468	3925.0993736636274	8560.103121451157
Mouse	566678900	1947.3069844677332	13881.52561745485
Mouse	473540161	3290.556762881131	20418.612196245114
Mouse	341442651	5529.8394491440795	16709.00329291612
Mouse	571379222	4569.276606070091	18587.954923242785
Mouse	479905853	2837.265819109792	13472.681333966986
Mouse	333785962	2416.757929675612	14105.120737474768
Mouse	323475862	1675.1219700221664	4769.467848651365
Mouse	475057898	2520.977746799483	14927.940949448275
Mouse	561934585	3182.6383399717643	18004.15351166472
Mouse	324266189	3369.22322269547	22719.8117294905
Mouse	474626527	1661.2646020708073	10180.544127130415
Mouse	554807924	1823.741166871772	10198.687809488727
Human	519832676	5324.976266713852	19616.681631811374
Human	596020931	6492.747097834413	43627.4071160605
Human	569095789	1359.4406400283688	9650.797022691262
Human	576095991	4486.05238171717	9352.497180054084
Human	531520637	5944.823514473935	29041.899094400913
Human	616647103	15158.78954803428	34621.71135386813
Human	542143598	2473.1009230811856	13362.004534878652
Human	531520401	13160.735209979819	37564.5886030218
Human	527942865	7324.465603211202	18618.17624489907
Human	529807751	5534.297948263755	42347.98674664885
Human	601927090	849.7035528940144	3027.989160228728
Human	517673596	13009.645503582742	46765.50438916246
Human	595999306	1820.2582896065244	5138.303704837913
Human	528042185	5414.534443231707	16139.672332323678
Human	488386626	4086.747560109835	22186.457765722877
Human	528638057	22979.814381507134	48289.76985900306
Human	571427524	4784.873991476567	31059.86061622101
Human	508282493	9552.521840567317	26224.40260751077
Human	576132767	3316.754637266239	11565.072329399103
Human	571709783	4171.240691822452	9742.383335574263
Human	571718621	3092.7041765833465	14057.762660296385
Human	508421103	2463.797511984752	9368.69968842531
Human	561432315	3409.1925804257558	18647.374797000273
Human	530062215	18702.857806363358	51021.959857711205
Human	527891102	5416.488995482663	19532.662071826508
Human	539640410	5534.938091730577	34428.373481779825
Human	541536216	3544.045327072458	23051.917012895192
Human	614230805	9112.012794866807	34475.67787476421
Human	614635228	5058.101729207299	17381.444626460467
Human	643572206	1768.8077212601602	5163.523501818982
Human	508410761	14793.040401469372	26169.898075596902
Human	643582610	4020.039848780666	17696.35520050951
Human	548473051	9258.938099420015	27123.10795012106
Human	525018757	4237.90443736414	20436.7987679995
Human	571483807	7194.219234877476	31221.96576902964
Human	571435969	2583.337880747758	6288.405317271112
Human	548421866	10227.331169743398	23262.631494487425
Human	508309649	13508.842395795102	53056.72673320077
Human	587710671	7456.130748307094	32396.23306740021
Human	561465305	2904.5258239420746	17115.408850438445
Human	571471295	6363.321835733976	23721.191833911314
Human	614197612	4688.442705370595	23150.675847506704
Human	528038990	10323.322086510085	25139.81470364154
Human	548408551	7227.482634316184	25628.988297508822
Human	567731428	5781.535051991489	21283.292307125063
Human	637034000	1713.3133420533445	10851.111912339207
Human	576084692	3189.736140111832	18083.852829473566
Human	613442532	9190.536007854686	14734.855154986468
Human	526785799	4780.435898353057	16787.094260785834
Human	571500474	5421.391376405169	12833.151115883984
Human	548494556	8803.957321625872	21369.544756437073
Human	614659629	5144.82456060617	15210.521512445997
Human	637038252	2165.3404930013057	8441.853204107578
Human	548459652	19819.048008288504	18671.671218221003
Human	567763632	9909.202054588412	27287.665168076557
Human	539661667	14365.567881646115	30605.371891967105
Human	531526539	5229.498591738633	21849.31672512571
Human	569820026	2409.9489268663892	8312.468969141848
Human	569820130	3754.891835086267	15941.34963199382
Human	545604343	4390.106275686686	22758.549245438215
Human	571525618	1788.3395089047463	10320.002140287901
Human	571624532	9996.764214634746	39768.27590326156
Human	596052605	7725.52594275135	14679.35436969987
Human	508378649	3511.5477681579564	17412.905900364225
Human	595568262	1337.1838641337415	7427.548745941036
Human	508417989	13501.465620698471	18804.446389349236
Human	537261100	10344.427246643985	46071.755680524555
Human	611623402	5705.183172624635	16469.191344487877
Human	571527806	4863.998868097952	15382.783900052524
Human	542137330	5031.200820976616	17202.426236672247
Human	571691416	13035.020727039022	26803.56995946426
Human	571735073	17342.763401108783	37099.294545820354
Human	526714733	5406.365626176695	23262.82713777471
Human	613468354	2387.692379952247	9926.650974730741
Human	569821470	6078.089386788611	26325.32299763815
Human	526734407	10702.582355434079	39281.81274837727
Human	611598198	909.8492376456159	4947.57773961281
Human	526800653	14439.909909673283	53275.99669734134
Human	595562635	1604.9096348169005	5485.411144965639
Human	561435279	3047.6866368069573	13845.515674925013
Human	571464200	4197.334653531273	12943.590753390472
Human	571624971	27535.474404003966	52305.657897409794
Human	643575207	5613.427109213091	21409.83519857222
Human	529845713	9374.553815795594	27181.278342372152
Human	571429412	4271.056452550421	9555.219423663088
Human	537204107	6918.757256522175	34883.308187735216
Human	541540569	7123.326125779585	28116.91988821101
Human	508305938	8496.656476209595	22045.957314463863
Human	525133308	3856.2118896239303	13198.347432560095
Human	529898751	8262.554767645624	34752.5635209983
Human	537266147	8509.52195138341	33175.553752323736
Human	596887423	2117.346160594306	10790.130125149792
Human	528022041	12111.044713809995	24779.173410369178
Human	531517732	7945.344104656367	26907.170971153795
Human	614651270	9032.06536877881	38407.601700158586
Human	530081951	1824.3230564884825	8613.587711793907
Human	569100745	6549.934517570303	23232.826207136153
Human	569825715	2375.7879794809123	14105.322679134595
Human	596036453	2243.3702586845525	10228.524070726435
Human	541545716	3935.534464493512	21568.36059445508
Human	527941296	9517.903612662247	22323.029741209903
Human	576120017	9316.246305653976	30388.159604597764
Human	526725807	4819.206980739895	19413.277930454275
Human	526727406	6836.411853261502	25651.11511137649
Human	571642127	6387.988014552613	26425.732865055037
Human	539537094	16396.711785516192	44372.08476895803
Human	528602977	4281.965033892313	16096.866135506922
Human	528687520	9877.010790912873	16426.82021815275
Human	488386504	4337.309142682827	19766.048670086606
Human	539653924	6446.598275341944	20938.19259682576
Human	508279351	4285.64297931053	16735.342665017815
Human	569818704	6868.9380685481965	18726.949152151385
Human	537297470	6829.806712210557	28645.022865993353
Human	571430815	3586.663437790852	13555.059367724845
Human	508405843	1996.795681284981	6203.75933202365
Human	571666289	11272.806654501986	35469.07441973459
Human	520454345	9385.344767713075	24806.52288358809
Human	596028822	1602.0464572111844	7864.334813540041
Human	571450870	6680.116916729935	30569.655993423363
Human	548440226	14814.429650712726	44472.809753576556
Human	520631294	10955.672562049835	27502.97622262601
Human	569849486	4299.626481843579	15551.054587014
Human	537218493	7536.9309150119425	32258.459823832985
Human	571654895	6816.98141821325	25522.14875331973
Human	571700636	6348.96791070495	30922.290498062182
Human	548425467	5030.128663434241	26763.03208755235
Human	537313158	9049.621411115337	30947.141515703803
Human	569107566	2343.800950251054	11629.548748910716
Human	528614014	12093.270674916059	22651.62935414855
Human	548457754	13495.33430043845	43998.05658727874
Human	611610514	5349.423831749766	29306.222143495666
Human	528015670	3467.4819595875597	12910.899098276434
Human	531523484	6680.200141978365	24815.129317824558
Human	528623840	4704.086616121056	16038.005197000706
Human	541563728	6440.797004244428	20478.545095322996
Human	529878215	4611.912975784641	21705.85841729939
Human	562381210	8023.658481576271	27963.81834865565
Human	595570553	2686.245752161816	23427.749245995186
Human	558211203	7352.461481232278	17037.088894298522
Human	529863215	8273.977024482558	38158.22166153591
Human	567742660	6415.23897421309	36482.93809619086
Human	571520182	2147.4560808828105	11219.440287237536
Human	488418027	4460.977077878065	27635.933635305228
Human	571659461	4965.485760492449	14112.24616155682
Human	531517778	15178.101251876953	58286.54284671072
Human	539542640	14949.711491966515	39815.30566567266
Human	529889679	4273.1226731373645	19317.554294162957
Human	537313600	9330.746773407574	44143.12954080913
Human	569844159	3147.6585230513415	12233.628624869336
Human	528636794	7107.722593766743	19436.830730092286
Human	576107598	5165.118531141772	19614.694413332065
Human	508298270	16576.774949734692	32865.641132843586
Human	545612828	27087.0107824636	72925.06619559704
Human	527952884	2222.127063469954	10985.598277844289
Human	561469082	7546.625958346901	26345.466899380954
Human	601958555	14274.425162055031	31837.8748418634
