	specimen_id	dendrite_type	cell_firing_rate	threshold_i_long_square	sweep_number	sweep_FR	stimulus_absolute_amplitude	nm_volume
66	323452196	aspiny	79.55043803734809	270.0	44	88.00044000220001	350.000001203554	3878.987015688152
67	323452196	aspiny	79.55043803734809	270.0	45	96.00048000240001	370.000002858362	3878.987015688152
68	323452196	aspiny	79.55043803734809	270.0	46	104.00052000260001	390.000004513169	3878.987015688152
69	323452196	aspiny	79.55043803734809	270.0	47	109.00054500272502	410.000006167976	3878.987015688152
77	323475862	aspiny	6.21291665372309	70.0	44	2.0000100000500005	69.9999988529321	1675.1219700221664
78	323475862	aspiny	6.21291665372309	70.0	45	3.0000150000750003	90.0000005077395	1675.1219700221664
79	323475862	aspiny	6.21291665372309	70.0	46	7.000035000175001	110.000002162547	1675.1219700221664
80	323475862	aspiny	6.21291665372309	70.0	48	12.000060000300001	149.999998533268	1675.1219700221664
81	323475862	aspiny	6.21291665372309	70.0	49	12.000060000300001	170.000000188075	1675.1219700221664
82	323475862	aspiny	6.21291665372309	70.0	50	14.000070000350002	190.000001842883	1675.1219700221664
83	323475862	aspiny	6.21291665372309	70.0	51	18.00009000045	210.00000349769	1675.1219700221664
85	323475862	aspiny	6.21291665372309	70.0	53	1.0000050000250003	69.9999988529321	1675.1219700221664
94	324266189	sparsely spiny	21.0644183171747	70.0	30	4.000020000100001	69.9999988529321	3369.223222695469
95	324266189	sparsely spiny	21.0644183171747	70.0	31	13.000065000325002	90.0000005077395	3369.223222695469
96	324266189	sparsely spiny	21.0644183171747	70.0	32	20.0001000005	110.000002162547	3369.223222695469
97	324266189	sparsely spiny	21.0644183171747	70.0	33	28.000140000700004	129.99999687846	3369.223222695469
98	324266189	sparsely spiny	21.0644183171747	70.0	34	35.000175000875004	149.999998533268	3369.223222695469
99	324266189	sparsely spiny	21.0644183171747	70.0	35	42.00021000105001	170.000000188075	3369.223222695469
100	324266189	sparsely spiny	21.0644183171747	70.0	36	48.000240001200005	190.000001842883	3369.223222695469
101	324266189	sparsely spiny	21.0644183171747	70.0	37	54.00027000135001	210.00000349769	3369.223222695469
102	324266189	sparsely spiny	21.0644183171747	70.0	83	1.0000050000250003	69.9999988529321	3369.223222695469
115	324493977	aspiny	22.3582645727974	119.99999237060499	38	3.0000150000750003	129.99999687846	2920.9155497576576
116	324493977	aspiny	22.3582645727974	119.99999237060499	39	14.000070000350002	149.999998533268	2920.9155497576576
117	324493977	aspiny	22.3582645727974	119.99999237060499	40	22.000110000550002	170.000000188075	2920.9155497576576
118	324493977	aspiny	22.3582645727974	119.99999237060499	41	27.000135000675005	190.000001842883	2920.9155497576576
119	324493977	aspiny	22.3582645727974	119.99999237060499	42	34.000170000850005	210.00000349769	2920.9155497576576
120	324493977	aspiny	22.3582645727974	119.99999237060499	43	40.000200001	230.000005152498	2920.9155497576576
121	324493977	aspiny	22.3582645727974	119.99999237060499	44	46.00023000115001	249.999992929517	2920.9155497576576
122	324493977	aspiny	22.3582645727974	119.99999237060499	45	52.000260001300006	269.999994584325	2920.9155497576576
123	324493977	aspiny	22.3582645727974	119.99999237060499	46	1.0000050000250003	119.999996051057	2920.9155497576576
132	327962063	aspiny	33.9876820400848	50.0	28	9.000045000225	50.0000006675716	1178.4603814390207
133	327962063	aspiny	33.9876820400848	50.0	29	23.000115000575004	69.9999988529321	1178.4603814390207
134	327962063	aspiny	33.9876820400848	50.0	30	34.000170000850005	90.0000005077395	1178.4603814390207
135	327962063	aspiny	33.9876820400848	50.0	31	43.000215001075006	110.000002162547	1178.4603814390207
136	327962063	aspiny	33.9876820400848	50.0	32	51.00025500127501	129.99999687846	1178.4603814390207
137	327962063	aspiny	33.9876820400848	50.0	33	60.00030000150001	149.999998533268	1178.4603814390207
138	327962063	aspiny	33.9876820400848	50.0	34	65.00032500162501	170.000000188075	1178.4603814390207
139	327962063	aspiny	33.9876820400848	50.0	35	70.00035000175001	190.000001842883	1178.4603814390207
141	327962063	aspiny	33.9876820400848	50.0	37	8.000040000200002	50.0000006675716	1178.4603814390207
142	327962063	aspiny	33.9876820400848	50.0	38	10.00005000025	50.0000006675716	1178.4603814390207
143	327962063	aspiny	33.9876820400848	50.0	39	10.00005000025	50.0000006675716	1178.4603814390207
167	333604946	aspiny	44.0990022600739	230.0	50	6.000030000150001	249.999992929517	2698.1761297455278
168	333604946	aspiny	44.0990022600739	230.0	51	33.00016500082501	269.999994584325	2698.1761297455278
169	333604946	aspiny	44.0990022600739	230.0	52	56.00028000140001	289.999996239132	2698.1761297455278
170	333604946	aspiny	44.0990022600739	230.0	53	71.000355001775	309.999997893939	2698.1761297455278
171	333604946	aspiny	44.0990022600739	230.0	54	84.00042000210001	329.999999548747	2698.1761297455278
172	333604946	aspiny	44.0990022600739	230.0	55	95.00047500237501	350.000001203554	2698.1761297455278
173	333604946	aspiny	44.0990022600739	230.0	56	108.00054000270002	370.000002858362	2698.1761297455278
174	333604946	aspiny	44.0990022600739	230.0	57	120.00060000300002	390.000004513169	2698.1761297455278
175	333604946	aspiny	44.0990022600739	230.0	58	29.000145000725006	249.999992929517	2698.1761297455278
176	333604946	aspiny	44.0990022600739	230.0	59	5.000025000125	230.000005152498	2698.1761297455278
177	333604946	aspiny	44.0990022600739	230.0	60	4.000020000100001	230.000005152498	2698.1761297455278
178	333604946	aspiny	44.0990022600739	230.0	61	8.000040000200002	230.000005152498	2698.1761297455278
179	333604946	aspiny	44.0990022600739	230.0	62	4.000020000100001	230.000005152498	2698.1761297455278
211	333785962	aspiny	179.53321364452202	370.0	58	1.0000050000250003	370.000002858362	2416.757929675612
212	333785962	aspiny	179.53321364452202	370.0	59	1.0000050000250003	390.000004513169	2416.757929675612
213	333785962	aspiny	179.53321364452202	370.0	60	2.0000100000500005	410.000006167976	2416.757929675612
214	333785962	aspiny	179.53321364452202	370.0	61	2.0000100000500005	430.000007822784	2416.757929675612
215	333785962	aspiny	179.53321364452202	370.0	62	4.000020000100001	450.000009477591	2416.757929675612
216	333785962	aspiny	179.53321364452202	370.0	63	3.0000150000750003	469.999983376823	2416.757929675612
217	333785962	aspiny	179.53321364452202	370.0	64	47.00023500117501	489.999985031631	2416.757929675612
218	333785962	aspiny	179.53321364452202	370.0	65	172.00086000430002	509.999986686438	2416.757929675612
219	333785962	aspiny	179.53321364452202	370.0	66	1.0000050000250003	390.000004513169	2416.757929675612
220	333785962	aspiny	179.53321364452202	370.0	67	1.0000050000250003	390.000004513169	2416.757929675612
221	333785962	aspiny	179.53321364452202	370.0	68	1.0000050000250003	390.000004513169	2416.757929675612
222	333785962	aspiny	179.53321364452202	370.0	69	1.0000050000250003	390.000004513169	2416.757929675612
256	341442651	aspiny	34.1246459567982	350.0	57	12.000060000300001	390.000004513169	5529.8394491440795
257	341442651	aspiny	34.1246459567982	350.0	58	34.000170000850005	410.000006167976	5529.8394491440795
258	341442651	aspiny	34.1246459567982	350.0	59	44.000220001100004	430.000007822784	5529.8394491440795
259	341442651	aspiny	34.1246459567982	350.0	60	61.00030500152501	450.000009477591	5529.8394491440795
260	341442651	aspiny	34.1246459567982	350.0	61	72.0003600018	469.999983376823	5529.8394491440795
261	341442651	aspiny	34.1246459567982	350.0	62	82.00041000205002	489.999985031631	5529.8394491440795
262	341442651	aspiny	34.1246459567982	350.0	63	96.00048000240001	509.999986686438	5529.8394491440795
263	341442651	aspiny	34.1246459567982	350.0	64	107.00053500267502	529.999988341245	5529.8394491440795
264	341442651	aspiny	34.1246459567982	350.0	65	31.000155000775006	390.000004513169	5529.8394491440795
265	341442651	aspiny	34.1246459567982	350.0	66	16.000080000400004	370.000002858362	5529.8394491440795
266	341442651	aspiny	34.1246459567982	350.0	67	4.000020000100001	350.000001203554	5529.8394491440795
268	341442651	aspiny	34.1246459567982	350.0	69	4.000020000100001	350.000001203554	5529.8394491440795
269	341442651	aspiny	34.1246459567982	350.0	70	4.000020000100001	350.000001203554	5529.8394491440795
270	341442651	aspiny	34.1246459567982	350.0	71	1.0000050000250003	350.000001203554	5529.8394491440795
283	382982932	spiny	12.268775408912699	130.0	36	1.0000050000250003	129.99999687846	5406.3953012764005
284	382982932	spiny	12.268775408912699	130.0	37	6.000030000150001	149.999998533268	5406.3953012764005
285	382982932	spiny	12.268775408912699	130.0	38	14.000070000350002	170.000000188075	5406.3953012764005
286	382982932	spiny	12.268775408912699	130.0	39	18.00009000045	190.000001842883	5406.3953012764005
287	382982932	spiny	12.268775408912699	130.0	40	22.000110000550002	210.00000349769	5406.3953012764005
288	382982932	spiny	12.268775408912699	130.0	41	25.000125000625005	230.000005152498	5406.3953012764005
289	382982932	spiny	12.268775408912699	130.0	42	29.000145000725006	249.999992929517	5406.3953012764005
290	382982932	spiny	12.268775408912699	130.0	43	32.00016000080001	269.999994584325	5406.3953012764005
296	382982932	spiny	12.268775408912699	130.0	49	1.0000050000250003	170.000000188075	5406.3953012764005
297	382982932	spiny	12.268775408912699	130.0	50	1.0000050000250003	170.000000188075	5406.3953012764005
298	382982932	spiny	12.268775408912699	130.0	51	1.0000050000250003	170.000000188075	5406.3953012764005
299	382982932	spiny	12.268775408912699	130.0	52	1.0000050000250003	170.000000188075	5406.3953012764005
322	396608557	aspiny	92.1658986175115	190.0	51	1.0000050000250003	210.00000349769	3568.6595625680475
323	396608557	aspiny	92.1658986175115	190.0	52	2.0000100000500005	230.000005152498	3568.6595625680475
324	396608557	aspiny	92.1658986175115	190.0	53	90.00045000225002	249.999992929517	3568.6595625680475
325	396608557	aspiny	92.1658986175115	190.0	54	102.00051000255002	269.999994584325	3568.6595625680475
326	396608557	aspiny	92.1658986175115	190.0	55	114.00057000285001	289.999996239132	3568.6595625680475
327	396608557	aspiny	92.1658986175115	190.0	56	131.00065500327503	309.999997893939	3568.6595625680475
