Species	Specimen_ID	Total_Volume	specimen__id	ef__avg_firing_rate
Mouse	530737765	3417.700938650117	530737765	24.6105118986475
Mouse	584872371	1615.3187173866334	584872371	31.739986034406098
Mouse	574038330	3222.967899808999	574038330	13.4333370648158
Mouse	477127614	1757.481248763785	477127614	16.0008533788469
Mouse	560965993	2754.122168410773	560965993	12.8774708647222
Mouse	566671538	1424.351022208813	566671538	5.43084721216511
Mouse	579662957	2428.3010564689503	579662957	48.1399541134055
Mouse	475068599	3737.9547393697126	475068599	28.0618439869405
Mouse	585841870	1919.2977372725027	585841870	38.8851521775685
Mouse	565888394	3184.109648668747	565888394	28.2752120640905
Mouse	517345160	3414.5191213830763	517345160	11.9132713843221
Mouse	524689239	2024.9178642670415	524689239	14.920514350822
Mouse	585805211	2888.3715277101223	585805211	39.570967406018895
Mouse	555697303	2429.3043512362037	555697303	12.912945227590699
Mouse	586073850	1951.8610051151745	586073850	41.3453786203047
Mouse	585947309	1539.8395737472954	585947309	59.9069918567104
Mouse	586072464	2161.042697401142	586072464	3.96510705789056
Mouse	527095729	3434.3671219899907	527095729	39.563382567765004
Mouse	561325425	2042.6535645914644	561325425	72.0461095100865
Mouse	585830272	1749.1267881855429	585830272	136.986301369864
Mouse	565120091	3406.6653395917733	565120091	21.3174163291409
Mouse	592952680	3177.2405731058643	592952680	10.4053460355632
Mouse	590558808	3511.2528788841537	590558808	73.0534304673391
Mouse	585951863	1753.3515163683646	585951863	54.9685457765835
Mouse	513510227	8302.262571212299	513510227	7.24200362100183
Mouse	591278744	5013.198914145074	591278744	114.155251141551
Mouse	555345752	4040.140197668659	555345752	25.4971953085161
Mouse	564349611	2265.623488849295	564349611	18.973331927901302
Mouse	582917630	2391.8906740255975	582917630	24.5705495256816
Mouse	583104750	3080.130214424581	583104750	29.0372091093873
Mouse	585925172	1121.7462654093545	585925172	12.565445026178
Mouse	586566174	3985.395187570502	586566174	9.208103130755061
Mouse	481093525	2865.0723537766294	481093525	99.7506234413965
Mouse	564346637	3327.738046570682	564346637	43.49717268377561
Mouse	509515969	2766.72075076086	509515969	27.5877289781505
Mouse	556923554	3224.133550534454	556923554	15.925595617276098
Mouse	565407476	862.586080177958	565407476	35.746782789548895
Mouse	566761793	2102.5993919924517	566761793	33.341668750521
Mouse	323452196	3878.987015688152	323452196	79.55043803734809
Mouse	569998790	4596.136636962596	569998790	126.546681664792
Mouse	583434059	2902.9758780535485	583434059	101.010101010101
Mouse	609435731	1978.2858773633523	609435731	81.824132664194
Mouse	555001065	10302.296188644648	555001065	7.8279112001753495
Mouse	580162374	3958.5873780482743	580162374	21.430758240636802
Mouse	587045566	993.3272772513626	587045566	14.9371282691942
Mouse	567952169	6032.358461747982	567952169	114.205570026047
Mouse	473543792	4338.768712158461	473543792	22.081786732000698
Mouse	565866518	2705.5858194046655	565866518	64.8508430609598
Mouse	547262585	1971.0798146979366	547262585	11.730830756105401
Mouse	580161872	2425.079505386471	580161872	88.31770008527191
Mouse	490382353	6549.188691838086	490382353	122.42508117315201
Mouse	573404307	3321.562133067223	573404307	17.3710455325758
Mouse	536951541	2462.672687017023	536951541	22.844958879074003
Mouse	586072783	2045.305416943035	586072783	8.37748968521582
Mouse	466245544	3806.823015026542	466245544	41.9555373634526
Mouse	585944237	1131.9952142149134	585944237	5.838802344863019
Mouse	594091004	9854.83488062432	594091004	13.3503121919159
Mouse	569723367	3053.200794508176	569723367	110.963160230803
Mouse	502359001	4199.903933202719	502359001	11.108642523883601
Mouse	569723405	5674.860600345283	569723405	17.5438596491228
Mouse	565462089	4004.542585428508	565462089	82.63451062006479
Mouse	574993444	3310.2363619244115	574993444	25.440226528625804
Mouse	481136138	5552.034258252037	481136138	72.96907036376629
Mouse	488501071	3273.801890419242	488501071	48.800854557186604
Mouse	575642695	7313.503336539833	575642695	33.4168755221387
Mouse	574036994	3992.877266260326	574036994	11.2701453848755
Mouse	593321019	2664.856953501223	593321019	24.4026436197254
Mouse	570896453	1200.2294453744887	570896453	62.0732464307879
Mouse	586073683	2023.6443884869059	586073683	78.3085356303843
Mouse	580145037	2831.2192886890252	580145037	53.544215165369394
Mouse	527869035	2007.8501968409482	527869035	31.3164075606755
Mouse	396608557	3568.6595625680475	396608557	92.1658986175115
Mouse	574992320	3827.9382070013185	574992320	40.5346187554776
Mouse	514824979	1645.5121783933414	514824979	19.5501409668059
Mouse	321708130	4330.064060087196	321708130	89.64498548362481
Mouse	485184849	3883.3153811737607	485184849	46.375345180126104
Mouse	475585413	2717.4912478465317	475585413	30.3228336165207
Mouse	516362762	2310.166866946092	516362762	19.1263101522454
Mouse	586071425	1218.3871914382412	586071425	11.202484914835699
Mouse	557261437	1465.4705297532244	557261437	12.854847348687699
Mouse	571396942	2815.147742038301	571396942	68.1697936591917
Mouse	584254833	3763.517290454236	584254833	11.648223645894001
Mouse	510715606	3589.964177842038	510715606	118.47861309138
Mouse	478058328	2208.1331085245174	478058328	46.5563797759087
Mouse	586379590	5996.808331548556	586379590	48.8852047864993
Mouse	530731648	10668.721621105782	530731648	48.496605237633105
Mouse	569958754	3111.3820937420883	569958754	35.1153485996424
Mouse	591265629	2313.768739311679	591265629	14.248449111115999
Mouse	578485753	2576.9565877233695	578485753	11.215540252574
Mouse	477880128	1395.8755175855579	477880128	91.2616929044034
Mouse	562003142	1661.3083727971693	562003142	10.0462125778581
Mouse	574067499	6609.667982178403	574067499	99.2505570184326
Mouse	561532710	2113.2111407070224	561532710	48.12319538017321
Mouse	523748610	2158.239492106956	523748610	12.9363316875445
